id,well_file_no,date_stimulated,stimulated_formation,top_ft,bottom_ft,stimulation_stages,volume,volume_units,treatment_type,acid_pct,lbs_proppant,max_treatment_pressure_psi,max_treatment_rate_bbls_min,details,created_at
1,11745,N/A,N/A,N/A,N/A,N/A,7500,Gallons,Acid,15% HC,N/A,N/A,N/A,N/A,2026-02-16 04:52:01
2,20197,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:01
3,20197,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:01
4,20197,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:01
5,20407,11/17/2011,Bakken,10882,20300,N/A,N/A,N/A,Sand Frac,N/A,4539124,8672,41.2,N/A,2026-02-16 04:52:01
6,20863,11/6/2011,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,4519292,N/A,N/A,N/A,2026-02-16 04:52:01
7,20863,N/A,Type Treatment,8877,43,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:01
8,20864,N/A,Sand Frac,4377826,8762,N/A,N/A,N/A,Sand Frac,N/A,4377826,8762,377,N/A,2026-02-16 04:52:01
9,21266,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:01
10,21266,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:01
11,21266,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:01
12,21266,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:01
13,22099,08/31/2013,Bakken,11126,21220,36,100130,Barrels,Acid,N/A,3649776,9294,39.0,"100 Mesh: 124,804; 40/70 White: 1,416,922; 20/40 Ceramic: 2,108,050",2026-02-16 04:52:02
14,22220,13/45/2012,Bakken,411093,36,411093,36,Barrels,Acid,N/A,4540494,N/A,N/A,N/A,2026-02-16 04:52:02
15,22220,N/A,N/A,N/A,N/A,N/A,N/A,N/A,acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:02
16,22220,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:02
17,22247,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:02
18,22247,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:02
19,22247,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:02
20,22247,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:02
21,22731,N/A,Sand Frac,3630945,7548,35,40332,Barrels,Acid,N/A,3630945,7548,34.0,N/A,2026-02-16 04:52:02
22,22731,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:02
23,22731,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:02
24,22731,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:02
25,22731,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:02
26,22740,09/08/2012,Bakken,11080,21140,N/A,N/A,N/A,Acid,N/A,3600530,9705,39.5,N/A,2026-02-16 04:52:02
27,28425,04/24/2015,Bakken,10032,20425,50,188339,Barrels,Acid,N/A,10032,9033,38.0,40170 White: 1209680; 20/40 White: 6519540,2026-02-16 04:52:05
28,28425,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:05
29,28425,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:05
30,28425,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:05
31,28425,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:05
32,28648,04/27/2015,Bakken,11080,20435,36,215116,Barrels,Sand Frac,N/A,11080,9426,75.0,40/70 Ceramic: 1441370; 30/50 Ceramic: 2089810,2026-02-16 04:52:07
33,28648,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:07
34,28648,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:07
35,28648,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:07
36,28648,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:07
37,28649,04/07/2015,Sand Frac,3768710,9499,36,209363,Barrels,Acid,.,11065,9499,75.0,40170 Ceramic: 1404730; 30/50 Ceramic: 2092990,2026-02-16 04:52:07
38,28649,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:07
39,28649,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:07
40,28649,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:07
41,28649,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:07
42,28754,07/13/2015,N/A,N/A,N/A,N/A,N/A,N/A,Sand Frac,N/A,N/A,8860,N/A,40/70 White: 194740; 30/50 White: 333940,2026-02-16 04:52:08
43,28754,07/30/2015,N/A,N/A,N/A,N/A,N/A,N/A,Sand Frac,N/A,N/A,3540180,36.7,40/70 White: 1289420; 30/50 White: 1992560,2026-02-16 04:52:08
44,28754,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,75.0,N/A,2026-02-16 04:52:08
45,28756,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:08
46,28756,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:08
47,28756,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:08
48,28756,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:08
49,28756,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:08
50,28976,03/16/2015,Three Forks,11078,20374,50,190732,Barrels,Acid,N/A,11078,9035,43.0,40/70 White: 1314300; 20/40 White: 6500390,2026-02-16 04:52:08
51,28976,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:08
52,28976,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:08
53,28976,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:08
54,28976,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:08
55,29242,07/16/2015,Bakken,110,3,36,209044,Barrels,Acid,N/A,110,9205,73.0,40/70 White: 1554520; 30/50 White: 1755330,2026-02-16 04:52:08
56,29242,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:08
57,29242,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:08
58,29242,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:08
59,29242,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:08
60,30789,07/13/2015,Three Forks,19506,20531,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,40/70 White: 144160; 30/50 Ceramic: 224540,2026-02-16 04:52:09
61,30789,07/31/2015,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,404000,8765,36.2,40/70 White: 1374400; 30/50 Ceramic: 2074240,2026-02-16 04:52:09
62,30789,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:09
63,30789,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acid,N/A,N/A,N/A,N/A,N/A,2026-02-16 04:52:09
